Name,Status,Budget,Clicks,Cost,Total Revenue,Revenue,Profit,Net Profit,Reported,Reported VS Revenue,Sales,ROI,ROAS,Calls,Cost per Call,Leads,New Leads,Info,Ad Source ID
"Engaged shopers - advanced facebook targeting option – Feed, Story, real – Copy",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120210557309140045
1% US Lead Pixel 90 Days,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120204962685330045
META | FES | ABO | LAL 1% | RuinedMyLife,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,120217069591420596
YT | FE | COLD | EMPLOYED | TOP 50%,PAUSED,-,15,47.18,0,0,-47.18,0,0,0,0,-100,0,0,0,0,0,-,21904481189
"Engaged shopers - advanced facebook targeting option – Feed, Story, real – Copy 2",OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120211632755240045
META | FES | CBO | LAL 1% | Soul Sucking,ACTIVE,-,2,7.52,0,0,-7.52,0,0,0,0,-100,0,0,0,0,0,-,120216923012900596
META | FES-B | ABO | LAL1% | Jade | LF Norm Job,ACTIVE,-,157,547.63,0,0,-547.63,0,0,0,0,-100,0,4,136.91,38,30,-,120218339554940123
META | FES | ABO | ADV+ | POV$3k,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-,120216528304980596
FES - B | META | ABO | ADV+ | Direct - Image | Class - Fastest Way,ACTIVE,-,0,5.01,0,0,-5.01,0,0,0,0,-100,0,0,0,0,0,-,120218341652800123
FES - B | META | ABO | ADV+ | Direct - Image | Jack Study4Months,ACTIVE,-,0,5.22,0,0,-5.22,0,0,0,0,-100,0,0,0,0,0,-,120218341509690123
META | FES | CBO | ADV+ | NORM-JOB,ACTIVE,-,1,9.14,0,0,-9.14,0,0,0,0,-100,0,0,0,0,0,-,120216654654350596
META | FES-B | ABO - Scale | ADV | Soul Sucking,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217413017590123
YT | AI | COLD | CI | Front End Developer | US | 21/10,ACTIVE,-,111,112,0,0,-112,0,0,0,0,-100,0,0,0,4,1,-,21824980491
META | FES | ABO | LAL 1% | Wish I Knew,ACTIVE,-,23,85.76,0,0,-85.76,0,0,0,0,-100,0,0,0,5,3,-,120217237820100596
META | FES | ABO - Scale | ADV+ | Jade | Being a nerd Comfy,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120220048735190596
FES - B | META | ABO | ADV+ | Direct - Image | Torin Study4Months,ACTIVE,-,3,5.45,0,0,-5.45,0,0,0,0,-100,0,0,0,0,0,-,120218341558280123
META | FES | ABO - Scale | ADV+ | Jade | Being a nerd,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120219649986120596
META | FES-B | ABO | LAL1% | Jade | LF Norm Job – VAR1,ACTIVE,-,65,246.48,0,0,-246.48,0,0,0,0,-100,0,3,82.16,14,13,-,120218584418500123
FES - B | META | ABO | ADV+ | Direct - Image | Fastest Way,ACTIVE,-,2,5.07,0,0,-5.07,0,0,0,0,-100,0,0,0,0,0,-,120218036679680123
META | FES | ABO | LAL1% | Soul Sucking | Variations,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,120217836514820596
META | FES | ABO | ADV+ | Jade | Drained,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-,120218266186190596
No targeting CA 30 - 40 ? scaling 2,OTHER,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,23858372093060108
META | FES | ABO | ADV+ | Soul Sucking | Variations,ACTIVE,-,17,46.09,0,0,-46.09,0,0,0,0,-100,0,2,23.05,6,3,-,120217355060740596
GG | FES | US | Generic | Jobs | Remote,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-,20858030140
META | FES | ABO | LAL 1% | NORM-JOB,ACTIVE,-,48,211.80,0,0,-211.80,0,0,0,0,-100,0,1,211.80,6,6,-,120215844156040596
META | FES | ABO | ADV+ | Soul Sucking,ACTIVE,-,68,354.13,0,0,-354.13,0,0,0,0,-100,0,0,0,16,8,-,120216401607200596
META | FES | ABO | LAL 1% | Soul Sucking,ACTIVE,-,49,218.65,0,0,-218.65,0,0,0,0,-100,0,0,0,8,8,-,120216401889640596
GG | FES | US | Generic | Tech Jobs,ACTIVE,-,8,26.44,0,0,-26.44,0,0,0,0,-100,0,0,0,3,0,-,21796607424
YT | COLD | CI | Beginner Coding | QB | US | 3/12,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,21979061039
META | FES |  CBO | LAL 1% | Soul Sucking,ACTIVE,-,0,1.26,0,0,-1.26,0,0,0,0,-100,0,0,0,0,0,-,120216654654340596
META | FES |ABO | ADV+ | NORM-JOB,ACTIVE,-,47,217.44,0,0,-217.44,0,0,0,0,-100,0,1,217.44,14,10,-,120215844156050596
META | FES | ABO | ADV+ | Jade | NormJob,ACTIVE,-,47,119.04,0,0,-119.04,0,0,0,0,-100,0,0,0,18,14,-,120218261334460596
Adspend.com | COLD | CI | Make Money Online | US | 05/30,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-,21360640450
YT | AI | WARM | Website Visitors | No Optin | 30d | US | 22/10,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,-,21839520709
FES - B | META | ABO | ADV+ | Direct - Image | Job or Refund,ACTIVE,-,0,5.42,0,0,-5.42,0,0,0,0,-100,0,0,0,0,0,-,120218037975180123
FES - B | META | ABO | ADV+ | Direct - Image | LTCEarn99k,ACTIVE,-,0,5.14,0,0,-5.14,0,0,0,0,-100,0,0,0,0,0,-,120218038074330123
FES - B | META | ABO | ADV+ | Direct - Image | Study4Months,ACTIVE,-,2,5.39,0,0,-5.39,0,0,0,0,-100,0,0,0,0,0,-,120218038135130123
Adspend.com | COLD | CI | Beginner Coding | US | 05/30,REMOVED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,21345498463
META | FES-B | ABO | LAL1% | Soul Sucking Variations,ACTIVE,-,5,28.42,0,0,-28.42,0,0,0,0,-100,0,1,28.42,2,1,-,120216264382920123
META | FES | CBO | ADV+ | POV-U-LEFT,ACTIVE,-,0,0.01,0,0,-0.01,0,0,0,0,-100,0,0,0,0,0,-,120216923183900596
META | FES | ABO | ADV+ | Imagine Dubai Broll,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120220288253680596
META | FES-B | ABO | LAL1% | Direct |  Not Knowing,PAUSED,-,24,90.52,0,0,-90.52,0,0,0,0,-100,0,1,90.52,3,3,-,120218733612570123
META | FES |ABO | ADV+ | Boring Job,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,120217054129600596
META | FES | ABO | LAL 1% | RegCon,PAUSED,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,120216781641170596
Total,OTHER,-,3986,-,55695.54,55695.54,45267.87,55695.54,55949.51,-253.97,17,434.11,5.34,47,221.87,852,527,-,-
